code,category,RGB_r,RGB_g,RGB_b,category_code
1,Temperate or sub-polar needleleaf forest,0,0.24,0,TSPNF
2,Sub-polar taiga needleleaf forest,0.58,0.61,0.44,SPTNF
5,Temperate or sub-polar broadleaf deciduous forest,0.08,0.55,0.24,TSPDF
6,Mixed forest,0.36,0.46,0.17,MF
8,Temperate or sub-polar shrubland,0.7,0.54,0.2,TSPSH
10,Temperate or sub-polar grassland,0.88,0.81,0.54,TSPGR
11,Sub-polar or polar shrubland-lichen-moss,0.61,0.46,0.33,SPPSH
12,Sub-polar or polar grassland-lichen-moss,0.73,0.83,0.56,SPPGR
13,Sub-polar or polar barren-lichen-moss,0.25,0.54,0.45,SPPBA
14,Wetland,0.42,0.64,0.54,WET
15,Cropland,0.9,0.68,0.4,CROP
16,Barren lands,0.66,0.67,0.68,BAR
17,Urban,0.86,0.13,0.15,URB
18,Water,0.3,0.44,0.64,WAT
19,Snow and Ice,1,0.98,1,SNOWI

